TalentID,Class,Branch,Slot,SPReq,TalentReq,TierNum,Tier,Name,Note,MaxLevel,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,Co0,Co1,Co2,Co3,Co4,Co5,Co6,Co7,Co8,Co9,Co10,Co11,Co12,Co13,Co14,Co15,Co16,Co17,Co18,Co19,Co20,Co21,Co22,Co23,Co24,Co25,Co26,Co27,Co28,Co29,Co30,BonusTypeA,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,BonusTypeB,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,BonusTypeC,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,BonusTypeD,BonusAmountD
FireTapSkillBoost,Pet,BranchOrange,1,3,PetDmg,2,II,SummonInferno,IncreasedFireSworddamage,25,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,TapBoostSkillAmount,0,1.60E+00,2.37E+00,3.89E+00,6.38E+00,1.05E+01,1.90E+01,3.79E+01,7.56E+01,1.66E+02,4.01E+02,1.06E+03,3.06E+03,1.06E+04,3.98E+04,1.77E+05,9.31E+05,6.23E+06,5.26E+07,5.59E+08,7.42E+09,1.42E+11,3.87E+12,1.49E+14,9.32E+15,9.32E+17,-,-,-,-,-,TapBoostSkillDuration,0,1,2,4,7,9,12,16,21,26,33,41,51,63,77,95,115,142,173,211,255,310,376,454,550,664,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetGoldQTE,Pet,BranchOrange,2,3,PetDmg,2,II,HeartofMidas,GivemultipleofmonstergolddropQTE,25,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,GoldBoss,0,1.80E+00,2.98E+00,4.93E+00,9.16E+00,1.70E+01,3.16E+01,6.57E+01,1.52E+02,3.53E+02,9.10E+02,2.60E+03,8.24E+03,2.88E+04,1.22E+05,5.71E+05,3.20E+06,2.15E+07,1.86E+08,2.08E+09,2.98E+10,5.39E+11,1.44E+13,5.58E+14,3.14E+16,2.92E+18,-,-,-,-,-,PetGoldQTECooldown,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,24,26,28,30,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetEquipmentBoost,Pet,BranchOrange,3,3,PetDmg,2,II,CompanionWarfare,IncreasedEquipmentPetsEffect,10,350,350,350,350,350,350,350,350,350,350,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,11,17,25,38,57,85,128,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EquipmentPetEffect,0,1.30E+00,1.66E+00,2.29E+00,3.69E+00,7.25E+00,1.93E+01,7.82E+01,5.57E+02,8.93E+03,4.42E+05,6.63E+06,9.95E+07,1.49E+09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DualSplashCount,0,4,8,12,16,20,24,28,32,36,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetBonusBoost,Pet,BranchOrange,4,20,FireTapSkillBoost,3,III,EmberArts,StackableFireSword,25,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,PetBonusBoost,0,1.24E+00,1.50E+00,1.91E+00,2.43E+00,3.10E+00,4.18E+00,5.93E+00,8.41E+00,1.26E+01,1.98E+01,3.27E+01,5.67E+01,1.08E+02,2.17E+02,4.78E+02,1.15E+03,3.16E+03,9.87E+03,3.50E+04,1.40E+05,6.90E+05,4.13E+06,3.00E+07,2.85E+08,3.54E+09,-,-,-,-,-,PetSplashSkipCount,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetQTE,Pet,BranchOrange,5,20,PetGoldQTE,3,III,LightningBurst,IncreasedpetQTEdamage/Petsplashcount,30,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,66,76,87,100,115,132,PetAttackQTEDamage,0,1.50E+00,2.14E+00,3.39E+00,5.36E+00,8.48E+00,1.48E+01,2.87E+01,5.56E+01,1.19E+02,2.79E+02,7.19E+02,2.04E+03,6.92E+03,2.57E+04,1.13E+05,5.95E+05,4.01E+06,3.44E+07,3.75E+08,5.15E+09,1.04E+11,3.04E+12,1.28E+14,8.99E+15,1.04E+18,2.27E+20,1.00E+23,9.59E+25,2.29E+29,1.57E+33,PetAttackSplashCount,0,3,6,9,12,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PetQTESplashSkipMult,2
DualPetBoost,Pet,BranchOrange,6,20,PetEquipmentBoost,3,III,SummoningCircle,IncreasedDualPetDamage,25,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,DualPetAmount,0,1.40E+00,2.64E+00,5.46E+00,1.13E+01,2.34E+01,5.31E+01,1.32E+02,3.27E+02,8.88E+02,2.63E+03,8.47E+03,2.97E+04,1.23E+05,5.50E+05,2.89E+06,1.77E+07,1.36E+08,1.30E+09,1.55E+10,2.28E+11,4.73E+12,1.38E+14,5.60E+15,3.60E+17,3.65E+19,-,-,-,-,-,DualPetDuration,0,2,5,9,13,18,24,33,41,53,66,83,102,127,155,190,231,283,347,422,510,620,752,908,1100,1328,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
TapBoostMultiCastSkill,Pet,BranchOrange,7,50,PetBonusBoost,4,IV,VolcanicEruption,IncreasedFireSwordStackDamage,15,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,TapBoostSkillStacksBonus,0,1.27E+00,1.62E+00,2.14E+00,3.04E+00,4.63E+00,7.76E+00,1.46E+01,3.17E+01,8.01E+01,2.45E+02,9.60E+02,5.08E+03,3.89E+04,4.75E+05,1.06E+07,5.18E+08,7.24E+10,4.06E+13,-,-,-,-,-,-,-,-,-,-,-,-,TapBoostSkillStacks,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
BossDmgQTE,Pet,BranchOrange,8,50,PetQTE,4,IV,FlashZip,PetBossdamageQTE,15,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,PetBossQTEDamage,0,2.00E+00,5.07E+00,1.49E+01,5.84E+01,2.98E+02,2.22E+03,2.63E+04,5.29E+05,1.94E+07,1.48E+09,2.95E+11,1.86E+14,4.85E+17,7.48E+21,1.15E+27,3.52E+33,5.76E+41,1.84E+52,-,-,-,-,-,-,-,-,-,-,-,-,PetQTECooldownMult,0,0.965,0.93,0.895,0.86,0.825,0.79,0.755,0.72,0.685,0.65,0.615,0.58,0.545,0.51,0.475,0.475,0.475,0.475,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PetBossQTEDuration,30
DualPetMultiCast,Pet,BranchOrange,9,50,DualPetBoost,4,IV,BurningPassion,StackableDualPet,15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,DualPetSkillStacksBonus,0,1.27E+00,1.62E+00,2.14E+00,3.04E+00,4.63E+00,7.76E+00,1.46E+01,3.17E+01,8.01E+01,2.45E+02,9.60E+02,5.08E+03,3.89E+04,4.75E+05,1.06E+07,5.18E+08,7.24E+10,4.06E+13,-,-,-,-,-,-,-,-,-,-,-,-,DualPetSkillStacks,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
AllHelperDmg,Warlord,BranchYellow,0,0,None,1,I,MasterCommander,Increaseddamgetoallherotypes,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,AllHelperDamage,0,1.20E+00,1.71E+00,2.43E+00,3.82E+00,6.02E+00,9.47E+00,1.64E+01,3.14E+01,6.01E+01,1.26E+02,2.90E+02,7.28E+02,2.00E+03,6.49E+03,2.29E+04,9.48E+04,4.59E+05,2.79E+06,2.11E+07,1.97E+08,2.27E+09,3.65E+10,8.15E+11,2.50E+13,1.19E+15,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
HelperBoost,Warlord,BranchYellow,1,3,AllHelperDmg,2,II,TacticalInsight,Unlockableskillboostforheroes,25,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,HelperMultiplicativeSkillBoost,0,0.0025,0.0047,0.0076,0.0105,0.0134,0.017,0.0212,0.0254,0.0302,0.0358,0.042,0.0488,0.0568,0.0655,0.0754,0.0866,0.0995,0.1143,0.1309,0.1494,0.1709,0.1955,0.2235,0.256,0.2933,-,-,-,-,-,HelperAdditiveSkillBoost,0,0.02,0.035,0.05,0.065,0.08,0.095,0.11,0.125,0.14,0.155,0.17,0.185,0.2,0.215,0.23,0.245,0.26,0.275,0.29,0.305,0.32,0.335,0.35,0.365,0.38,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
HelperDmgSkillBoost,Warlord,BranchYellow,2,3,AllHelperDmg,2,II,HeroicMight,WarCrydamage/InspiredHerocount,25,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,InspiredHelperDamage,0,1.50E+00,2.13E+00,3.04E+00,4.79E+00,7.55E+00,1.19E+01,2.07E+01,3.97E+01,7.61E+01,1.60E+02,3.71E+02,9.39E+02,2.60E+03,8.55E+03,3.07E+04,1.30E+05,6.45E+05,4.06E+06,3.21E+07,3.18E+08,3.92E+09,6.90E+10,1.72E+12,6.07E+13,3.43E+15,-,-,-,-,-,InspiredHelperCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28,30,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
ClanShipDmg,Warlord,BranchYellow,3,3,AllHelperDmg,2,II,AerialAssault,Increasedclanshipdamage/maxsplashcount,30,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,66,76,87,100,115,ClanShipDamage,0,1.50E+00,2.11E+00,2.98E+00,4.63E+00,7.19E+00,1.12E+01,1.91E+01,3.58E+01,6.73E+01,1.38E+02,3.11E+02,7.63E+02,2.04E+03,6.48E+03,2.23E+04,9.02E+04,4.27E+05,2.55E+06,1.91E+07,1.77E+08,2.05E+09,3.36E+10,7.76E+11,2.52E+13,1.30E+15,1.06E+17,1.57E+19,4.41E+21,2.53E+24,3.37E+27,ClanShipSplashCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,32,35,38,41,44,47,50,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
